category,n,proportion_of_test_set,conf_classical_mean,conf_classical_median,conf_bert_mean,conf_bert_median
classical_false_positives,12,0.0105,0.6352,0.5847,0.9976,0.9989
classical_false_negatives,39,0.034,0.6547,0.6552,0.9629,0.9991
bert_false_positives,2,0.0017,0.5213,0.5213,0.9912,0.9912
bert_false_negatives,16,0.0139,0.7264,0.7575,0.928,0.9953
classical_wrong_bert_correct,36,0.0314,0.6237,0.5963,0.9909,0.9993
bert_wrong_classical_correct,3,0.0026,0.6547,0.658,0.9929,0.9975
both_wrong,15,0.0131,0.7134,0.7544,0.9235,0.9945
both_correct_low_confidence,69,0.0601,0.593,0.5894,0.9858,0.9995
strong_disagreement,1,0.0009,0.9028,0.9028,0.9987,0.9987
model_disagreements,39,0.034,0.6261,0.5991,0.9911,0.9992
