model,seed,accuracy,precision,recall,f1,roc_auc,log_loss,brier,ece,correct_confidence,incorrect_confidence,num_errors,temperature,calibrated_log_loss,calibrated_brier,calibrated_ece,calibrated_incorrect_confidence,accuracy_unchanged_by_calibration
classical,42,0.9556,0.9777,0.9309,0.9537,0.99,0.2001,0.0487,0.1033,0.862,0.6501,51,,,,,,
bert,42,0.9861,0.9946,0.977,0.9857,0.998,0.07,0.0127,0.0125,0.9984,0.9465,16,1.7284,0.0551,0.0122,0.0066,0.8994,True
classical,123,0.9556,0.9777,0.9309,0.9537,0.99,0.2001,0.0487,0.1033,0.862,0.6501,51,,,,,,
bert,123,0.9861,0.9964,0.9752,0.9857,0.9974,0.0785,0.0146,0.0159,0.9956,0.983,16,1.7632,0.0624,0.0142,0.0122,0.931,True
classical,2024,0.9556,0.9777,0.9309,0.9537,0.99,0.2001,0.0487,0.1033,0.862,0.6501,51,,,,,,
bert,2024,0.9869,0.9946,0.9787,0.9866,0.9979,0.0829,0.0127,0.0125,0.9996,0.9861,15,2.0687,0.0559,0.0118,0.0104,0.9291,True
classical,3407,0.9556,0.9777,0.9309,0.9537,0.99,0.2001,0.0487,0.1033,0.862,0.6501,51,,,,,,
bert,3407,0.9782,0.9909,0.9645,0.9775,0.9971,0.068,0.0162,0.0145,0.9953,0.8252,25,1.433,0.0617,0.0154,0.0115,0.7869,True
classical,7777,0.9556,0.9777,0.9309,0.9537,0.99,0.2001,0.0487,0.1033,0.862,0.6501,51,,,,,,
bert,7777,0.9774,0.9736,0.9805,0.977,0.9971,0.0844,0.0188,0.0163,0.9947,0.8741,26,1.5476,0.0733,0.0179,0.0101,0.8265,True
