model,metric,mean,std,min,max,n,ci95_low,ci95_high
classical,accuracy,0.9556,0.0,0.9556,0.9556,5,0.9556,0.9556
classical,precision,0.9777,0.0,0.9777,0.9777,5,0.9777,0.9777
classical,recall,0.9309,0.0,0.9309,0.9309,5,0.9309,0.9309
classical,f1,0.9537,0.0,0.9537,0.9537,5,0.9537,0.9537
classical,roc_auc,0.99,0.0,0.99,0.99,5,0.99,0.99
classical,log_loss,0.2001,0.0,0.2001,0.2001,5,0.2001,0.2001
classical,brier,0.0487,0.0,0.0487,0.0487,5,0.0487,0.0487
classical,ece,0.1033,0.0,0.1033,0.1033,5,0.1033,0.1033
classical,correct_confidence,0.862,0.0,0.862,0.862,5,0.862,0.862
classical,incorrect_confidence,0.6501,0.0,0.6501,0.6501,5,0.6501,0.6501
classical,num_errors,51.0,0.0,51.0,51.0,5,51.0,51.0
bert,accuracy,0.9829,0.0047,0.9774,0.9869,5,0.9771,0.9888
bert,precision,0.99,0.0094,0.9736,0.9964,5,0.9784,1.0017
bert,recall,0.9752,0.0063,0.9645,0.9805,5,0.9674,0.983
bert,f1,0.9825,0.0048,0.977,0.9866,5,0.9765,0.9885
bert,roc_auc,0.9975,0.0004,0.9971,0.998,5,0.997,0.998
bert,log_loss,0.0768,0.0074,0.068,0.0844,5,0.0675,0.086
bert,brier,0.015,0.0026,0.0127,0.0188,5,0.0118,0.0182
bert,ece,0.0143,0.0018,0.0125,0.0163,5,0.0121,0.0166
bert,correct_confidence,0.9967,0.0021,0.9947,0.9996,5,0.9941,0.9994
bert,incorrect_confidence,0.923,0.0709,0.8252,0.9861,5,0.835,1.011
bert,num_errors,19.6,5.4129,15.0,26.0,5,12.8789,26.3211
bert,temperature,1.7082,0.2423,1.433,2.0687,5,1.4073,2.0091
bert,calibrated_log_loss,0.0617,0.0073,0.0551,0.0733,5,0.0526,0.0707
bert,calibrated_brier,0.0143,0.0025,0.0118,0.0179,5,0.0112,0.0174
bert,calibrated_ece,0.0102,0.0022,0.0066,0.0122,5,0.0075,0.0128
bert,calibrated_incorrect_confidence,0.8746,0.0648,0.7869,0.931,5,0.7942,0.955
